iter	Passed	Remaining
0	2	209
1	3	161
2	4	136
3	4	119
4	5	111
5	6	107
6	7	103
7	8	100
8	9	96
9	10	93
10	11	91
11	12	88
12	13	87
13	14	86
14	15	86
15	16	85
16	17	86
17	18	84
18	19	82
19	20	81
20	21	79
21	22	78
22	23	77
23	24	76
24	24	74
25	25	73
26	26	72
27	27	70
28	28	69
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	51
47	46	50
48	47	49
49	48	48
50	48	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
