iter	Passed	Remaining
0	172	172741
1	173	86742
2	174	58122
3	176	43982
4	177	35409
5	179	29678
6	180	25633
7	181	22521
8	182	20106
9	183	18163
10	184	16565
11	185	15240
12	186	14134
13	187	13173
14	188	12406
15	190	11687
16	191	11056
17	192	10517
18	193	10006
19	194	9543
20	195	9117
21	196	8733
22	197	8387
23	198	8067
24	199	7772
25	200	7502
26	201	7251
27	202	7017
28	203	6799
29	204	6601
30	205	6419
31	206	6255
32	208	6121
33	210	5983
34	212	5847
35	213	5708
36	214	5575
37	215	5447
38	216	5330
39	217	5222
40	218	5115
41	219	5016
42	221	4919
43	221	4821
44	222	4728
45	223	4641
46	224	4560
47	225	4481
48	226	4405
49	228	4334
50	229	4263
51	230	4194
52	231	4136
53	233	4090
54	234	4030
55	235	3971
56	237	3928
57	239	3892
58	240	3841
59	241	3788
60	242	3736
61	243	3689
62	244	3641
63	246	3601
64	247	3557
65	248	3516
66	249	3477
67	250	3437
68	251	3396
69	252	3358
70	253	3321
71	254	3285
72	255	3247
73	256	3211
74	257	3176
75	258	3141
76	259	3111
77	260	3083
78	262	3056
79	263	3029
80	265	3014
81	267	2993
82	267	2960
83	269	2933
84	270	2906
85	271	2881
86	272	2856
87	273	2831
88	274	2808
89	275	2785
90	276	2765
91	278	2743
92	279	2722
93	280	2702
94	281	2679
95	282	2657
96	283	2638
97	284	2620
98	285	2598
99	286	2578
100	287	2559
101	289	2547
102	290	2528
103	291	2511
104	293	2500
105	295	2492
106	296	2477
107	298	2461
108	299	2444
109	300	2427
110	301	2412
111	302	2398
112	303	2385
113	305	2373
114	306	2359
115	307	2344
116	308	2327
117	309	2313
118	310	2297
119	311	2283
120	312	2269
121	313	2253
122	313	2238
123	314	2224
124	315	2209
125	316	2196
126	317	2185
127	319	2174
128	320	2162
129	322	2155
130	323	2145
131	324	2134
132	325	2123
133	326	2112
134	327	2101
135	328	2089
136	329	2077
137	331	2067
138	332	2061
139	334	2053
140	335	2043
141	336	2030
142	337	2020
143	338	2009
144	339	2000
145	340	1989
146	341	1979
147	341	1968
148	342	1957
149	343	1947
150	344	1937
151	345	1927
152	348	1926
153	349	1918
154	350	1910
155	352	1906
156	353	1900
157	355	1892
158	356	1884
159	357	1875
160	357	1864
161	358	1855
162	359	1846
163	360	1838
164	361	1830
165	362	1822
166	363	1814
167	364	1805
168	365	1797
169	366	1789
170	367	1781
171	368	1773
172	369	1765
173	370	1758
174	371	1750
175	372	1742
176	373	1734
177	374	1728
178	376	1725
179	377	1718
180	378	1711
181	379	1706
182	380	1700
183	381	1693
184	383	1687
185	383	1680
186	384	1672
187	385	1665
188	386	1658
189	387	1652
190	388	1646
191	389	1641
192	391	1635
193	392	1628
194	393	1622
195	393	1615
196	394	1609
197	395	1603
198	396	1596
199	397	1590
200	398	1583
201	399	1576
202	400	1571
203	400	1564
204	402	1559
205	403	1553
206	404	1550
207	405	1544
208	406	1539
209	408	1536
210	409	1532
211	410	1527
212	411	1521
213	412	1515
214	413	1510
215	414	1505
216	415	1499
217	416	1493
218	417	1488
219	418	1484
220	419	1479
221	421	1476
222	422	1471
223	423	1465
224	424	1460
225	425	1455
226	426	1450
227	426	1445
228	427	1440
229	428	1435
230	429	1430
231	430	1424
232	431	1419
233	432	1415
234	433	1412
235	435	1409
236	436	1405
237	437	1401
238	438	1396
239	439	1392
240	440	1387
241	441	1383
242	442	1378
243	443	1374
244	444	1369
245	445	1365
246	446	1361
247	447	1357
248	449	1354
249	449	1349
250	450	1345
251	451	1340
252	452	1336
253	453	1332
254	454	1327
255	455	1323
256	456	1318
257	457	1314
258	457	1310
259	458	1305
260	459	1301
261	461	1299
262	462	1296
263	464	1293
264	465	1292
265	466	1288
266	468	1285
267	469	1282
268	470	1278
269	471	1274
270	472	1270
271	473	1266
272	474	1262
273	475	1259
274	476	1256
